transaction_id,account_id,amount,currency,merchant,category,timestamp,status
T300024,A2424,11.0,EUR,Amazon,SHOPPING,2024-03-12T03:49:54,SETTLED
T300025,A2570,120.84,GBP,Zara,SHOPPING,2024-07-31T06:00:02,SETTLED
T300026,A2510,9.59,USD,Amazon,FOOD,2024-09-25T08:08:56,DECLINED
T300027,A2181,16.85,GBP,Spotify,TRAVEL,2023-10-25T16:35:28,SETTLED
T300028,A2457,36.37,GBP,Zara,SHOPPING,2023-12-28T18:06:00,SETTLED
T300029,A2063,15.28,USD,Spotify,SHOPPING,2025-03-14T22:13:47,SETTLED
T300030,A2259,11.78,GBP,Ikea,SHOPPING,2024-04-13T12:23:14,SETTLED
T300031,A2192,45.7,USD,Zara,SHOPPING,2023-11-20T10:12:30,SETTLED
T300032,A2654,4.66,GBP,Spotify,ENTERTAINMENT,2023-10-13T06:25:34,SETTLED
T300033,A2615,3.0,EUR,Amazon,TRAVEL,2025-08-24T17:51:56,DECLINED
T300034,A2405,23.28,EUR,Spotify,TRAVEL,2024-03-06T23:01:39,SETTLED
T300035,A2725,63.77,EUR,Amazon,TRAVEL,2025-08-06T02:43:00,SETTLED
T300036,A2753,40.46,USD,Zara,ENTERTAINMENT,2025-06-26T21:24:26,SETTLED
T300037,A2720,27.48,GBP,Amazon,ENTERTAINMENT,2024-10-16T21:04:48,SETTLED
T300038,A2092,41.71,GBP,Zara,SHOPPING,2024-07-26T00:00:10,SETTLED
T300039,A2429,22.74,EUR,Uber,ENTERTAINMENT,2025-03-06T12:47:57,DECLINED
T300040,A2653,137.56,EUR,Starbucks,FOOD,2025-08-04T18:50:56,SETTLED
T300041,A2433,2.82,USD,Zara,ENTERTAINMENT,2024-06-24T11:49:11,SETTLED
T300042,A2403,55.95,USD,Uber,SHOPPING,2024-08-30T06:20:35,SETTLED
T300043,A2433,110.95,GBP,Uber,TRAVEL,2025-04-12T01:55:17,SETTLED
T300044,A2111,81.45,USD,Uber,ENTERTAINMENT,2023-11-14T02:45:42,SETTLED
T300045,A2374,10.17,USD,Uber,TRAVEL,2024-12-03T06:24:55,SETTLED
T300046,A2058,17.54,USD,Zara,TRAVEL,2023-11-22T09:45:02,SETTLED
T300047,A2042,63.12,EUR,Amazon,FOOD,2024-10-05T17:55:21,SETTLED
T300048,A2206,4.4,EUR,Uber,FOOD,2023-12-21T20:56:40,SETTLED
T300049,A2779,83.53,GBP,Ikea,ENTERTAINMENT,2025-01-16T02:37:38,SETTLED
T300050,A2295,63.45,USD,Uber,TRAVEL,2025-06-07T01:16:56,SETTLED
T300051,A2117,65.39,EUR,Amazon,SHOPPING,2024-07-11T11:18:25,SETTLED
T300052,A2531,5.28,USD,Amazon,TRAVEL,2023-11-06T07:00:26,SETTLED
T300053,A2221,63.25,GBP,Starbucks,TRAVEL,2024-12-11T21:48:10,SETTLED
T300054,A2165,56.94,USD,Starbucks,FOOD,2024-11-23T05:00:42,SETTLED
T300055,A2642,88.87,GBP,Uber,FOOD,2023-10-27T13:06:10,SETTLED
T300056,A2155,2.12,GBP,Uber,FOOD,2024-08-12T00:44:04,SETTLED
T300057,A2183,1.17,EUR,Spotify,FOOD,2025-02-04T16:54:57,SETTLED
T300058,A2089,23.34,USD,Spotify,ENTERTAINMENT,2023-12-19T16:38:42,SETTLED
T300059,A2093,8.05,EUR,Starbucks,ENTERTAINMENT,2024-03-11T01:48:40,SETTLED
T300060,A2012,40.87,USD,Uber,TRAVEL,2024-04-22T17:18:04,SETTLED
T300061,A2741,124.66,USD,Spotify,ENTERTAINMENT,2024-03-29T21:17:23,SETTLED
T300062,A2437,24.84,GBP,Ikea,SHOPPING,2025-07-01T02:14:50,SETTLED
T300063,A2537,93.2,GBP,Zara,TRAVEL,2024-05-10T20:15:28,SETTLED
T300064,A2586,0.01,USD,Starbucks,TRAVEL,2025-08-28T10:44:21,SETTLED
T300065,A2149,9.23,EUR,Starbucks,SHOPPING,2025-05-23T04:22:25,SETTLED
T300066,A2659,1.54,GBP,Amazon,TRAVEL,2024-07-10T09:14:05,DECLINED
T300067,A2007,19.89,GBP,Uber,SHOPPING,2025-03-06T10:32:17,SETTLED
T300068,A2028,119.4,USD,Starbucks,FOOD,2025-06-16T07:48:10,SETTLED
T300069,A2295,5.1,USD,Starbucks,FOOD,2025-04-02T08:02:13,SETTLED
T300070,A2720,46.62,GBP,Spotify,FOOD,2024-05-19T13:50:10,SETTLED
T300071,A2639,30.03,EUR,Ikea,SHOPPING,2024-05-13T05:05:30,SETTLED
T300072,A2339,139.41,GBP,Uber,ENTERTAINMENT,2024-08-25T20:05:03,SETTLED
T300073,A2627,6.54,USD,Zara,ENTERTAINMENT,2024-04-07T09:41:27,SETTLED
T300074,A2438,11.91,GBP,Ikea,TRAVEL,2024-03-08T14:53:42,SETTLED
T300075,A2143,1.5,USD,Zara,FOOD,2023-11-06T04:20:26,SETTLED
T300076,A2746,28.45,GBP,Amazon,FOOD,2024-02-13T14:54:12,SETTLED
T300077,A2518,16.27,USD,Starbucks,TRAVEL,2023-12-23T21:22:29,SETTLED
T300078,A2044,101.97,USD,Spotify,FOOD,2025-05-06T23:08:42,SETTLED
T300079,A2238,46.44,EUR,Ikea,FOOD,2025-04-29T08:38:22,SETTLED
T300080,A2154,47.61,USD,Zara,SHOPPING,2024-12-06T07:48:50,DECLINED
T300081,A2180,37.95,GBP,Uber,TRAVEL,2023-12-02T19:28:01,SETTLED
T300082,A2214,4.82,USD,Amazon,SHOPPING,2024-01-07T21:07:43,SETTLED
T300083,A2087,29.44,GBP,Amazon,FOOD,2023-11-30T05:40:09,SETTLED
T300084,A2255,380.57,EUR,Starbucks,FOOD,2024-01-14T20:14:16,SETTLED
T300085,A2510,90.16,GBP,Starbucks,TRAVEL,2024-08-23T08:35:51,SETTLED
T300086,A2072,111.96,EUR,Zara,FOOD,2024-09-05T03:57:47,SETTLED
T300087,A2178,86.64,EUR,Zara,ENTERTAINMENT,2024-05-10T02:04:15,SETTLED
T300088,A2211,5.44,USD,Amazon,SHOPPING,2024-07-20T22:00:33,DECLINED
T300089,A2233,12.9,EUR,Zara,SHOPPING,2023-12-11T22:45:43,SETTLED
T300090,A2464,0.16,GBP,Starbucks,ENTERTAINMENT,2024-10-29T10:25:25,SETTLED
T300091,A2750,18.09,EUR,Amazon,TRAVEL,2024-06-13T11:01:41,DECLINED
T300092,A2222,5.75,EUR,Amazon,TRAVEL,2025-04-29T12:11:02,DECLINED
T300093,A2630,32.01,USD,Uber,FOOD,2024-02-17T10:41:09,SETTLED
T300094,A2263,56.52,GBP,Uber,TRAVEL,2024-08-25T04:24:39,SETTLED
T300095,A2206,103.77,EUR,Zara,ENTERTAINMENT,2024-05-05T15:20:18,SETTLED
T300096,A2606,69.16,USD,Zara,TRAVEL,2024-09-03T01:28:21,SETTLED
T300097,A2733,139.51,USD,Starbucks,FOOD,2024-04-02T00:10:18,SETTLED
T300098,A2365,2.77,GBP,Starbucks,ENTERTAINMENT,2025-07-02T07:29:09,SETTLED
T300099,A2275,0.61,USD,Uber,FOOD,2023-12-11T07:25:00,SETTLED
T300100,A2379,54.14,EUR,Amazon,SHOPPING,2023-11-18T09:38:01,SETTLED
T300101,A2742,17.08,USD,Ikea,SHOPPING,2024-01-09T14:13:46,SETTLED
T300102,A2308,14.62,GBP,Spotify,TRAVEL,2025-05-28T10:45:48,SETTLED
T300103,A2630,20.09,GBP,Spotify,ENTERTAINMENT,2025-02-23T01:03:19,SETTLED
T300104,A2267,15.72,USD,Ikea,ENTERTAINMENT,2024-05-02T11:02:39,DECLINED
T300105,A2784,35.81,EUR,Zara,ENTERTAINMENT,2025-06-12T01:01:49,SETTLED
T300106,A2063,29.0,USD,Spotify,FOOD,2025-03-09T12:42:56,SETTLED
T300107,A2349,35.92,GBP,Spotify,ENTERTAINMENT,2025-03-03T10:48:47,SETTLED
T300108,A2493,55.85,USD,Ikea,TRAVEL,2024-12-20T18:26:22,SETTLED
T300109,A2522,24.48,USD,Ikea,SHOPPING,2023-10-10T11:52:05,SETTLED
T300110,A2097,14.47,EUR,Uber,TRAVEL,2024-02-23T04:20:38,SETTLED
T300111,A2070,9.09,USD,Amazon,SHOPPING,2025-06-19T10:49:58,SETTLED
T300112,A2363,21.5,EUR,Starbucks,SHOPPING,2025-07-05T11:44:57,SETTLED
T300113,A2569,67.7,USD,Uber,TRAVEL,2024-05-20T18:34:58,SETTLED
T300114,A2762,70.67,USD,Spotify,SHOPPING,2024-01-02T09:01:19,SETTLED
T300115,A2275,54.97,EUR,Starbucks,SHOPPING,2023-11-19T00:23:52,SETTLED
T300116,A2049,13.33,EUR,Uber,FOOD,2025-03-14T13:00:03,SETTLED
T300117,A2357,44.35,GBP,Uber,TRAVEL,2024-03-19T23:11:58,SETTLED
T300118,A2727,42.28,EUR,Ikea,TRAVEL,2024-06-11T11:35:30,SETTLED
T300119,A2563,33.11,USD,Starbucks,TRAVEL,2024-07-12T22:35:53,SETTLED
T300120,A2782,39.92,GBP,Uber,SHOPPING,2024-10-11T23:38:53,SETTLED
T300121,A2484,33.84,EUR,Ikea,ENTERTAINMENT,2023-10-17T04:34:18,SETTLED
T300122,A2083,41.67,EUR,Zara,ENTERTAINMENT,2025-02-16T03:40:45,DECLINED
T300123,A2637,62.85,GBP,Starbucks,SHOPPING,2024-04-28T06:51:38,SETTLED
T300124,A2583,5.81,USD,Uber,ENTERTAINMENT,2024-03-29T05:55:35,SETTLED
T300125,A2295,69.24,USD,Spotify,ENTERTAINMENT,2025-06-07T03:38:40,SETTLED
T300126,A2235,7.3,GBP,Zara,SHOPPING,2024-01-22T05:11:44,SETTLED
T300127,A2055,3.45,USD,Ikea,TRAVEL,2023-10-03T07:28:41,SETTLED
T300128,A2359,186.65,EUR,Uber,FOOD,2024-07-19T06:29:00,SETTLED
T300129,A2109,157.32,USD,Spotify,TRAVEL,2025-07-03T22:59:20,SETTLED
T300130,A2191,3.12,EUR,Ikea,TRAVEL,2024-08-25T09:42:24,SETTLED
T300131,A2092,29.28,USD,Ikea,TRAVEL,2024-11-13T23:47:43,SETTLED
T300132,A2567,10.3,EUR,Spotify,FOOD,2025-04-12T05:15:32,SETTLED
T300133,A2059,33.21,GBP,Ikea,TRAVEL,2024-11-09T11:03:46,SETTLED
T300134,A2649,88.65,EUR,Starbucks,ENTERTAINMENT,2024-03-21T05:39:24,SETTLED
T300135,A2038,150.4,USD,Zara,FOOD,2023-11-21T17:52:23,SETTLED
T300136,A2539,50.29,EUR,Zara,ENTERTAINMENT,2024-09-02T01:10:35,SETTLED
T300137,A2048,21.84,USD,Amazon,FOOD,2023-11-27T07:45:24,SETTLED
T300138,A2419,46.23,USD,Uber,ENTERTAINMENT,2025-05-25T13:47:15,SETTLED
T300139,A2636,18.7,EUR,Ikea,TRAVEL,2025-05-17T17:45:08,SETTLED
T300140,A2012,120.3,USD,Uber,TRAVEL,2023-12-26T17:59:50,SETTLED
T300141,A2035,102.17,GBP,Zara,TRAVEL,2023-12-12T12:07:08,SETTLED
T300142,A2100,40.85,USD,Zara,ENTERTAINMENT,2023-09-18T10:57:33,SETTLED
T300143,A2793,19.64,GBP,Ikea,ENTERTAINMENT,2023-10-27T01:39:46,SETTLED
T300144,A2085,17.36,GBP,Starbucks,SHOPPING,2025-06-15T03:19:41,SETTLED
T300145,A2515,1.7,USD,Spotify,ENTERTAINMENT,2025-05-07T18:12:55,SETTLED
T300146,A2222,84.59,GBP,Ikea,FOOD,2024-02-28T19:49:02,SETTLED
T300147,A2337,29.93,GBP,Ikea,TRAVEL,2023-12-19T16:46:29,SETTLED
T300148,A2165,19.66,EUR,Amazon,FOOD,2024-02-10T01:32:00,SETTLED
T300149,A2382,31.85,GBP,Spotify,SHOPPING,2025-06-09T22:27:05,SETTLED
T300150,A2375,85.39,GBP,Starbucks,SHOPPING,2024-07-16T07:27:08,SETTLED
T300151,A2470,6.65,GBP,Uber,ENTERTAINMENT,2024-06-24T07:07:04,SETTLED
T300152,A2789,97.48,GBP,Spotify,TRAVEL,2025-02-23T05:21:02,SETTLED
T300153,A2641,113.9,GBP,Starbucks,FOOD,2025-01-10T17:39:50,SETTLED
T300154,A2030,146.6,USD,Ikea,SHOPPING,2025-09-06T09:43:44,SETTLED
T300155,A2374,25.33,GBP,Ikea,SHOPPING,2025-01-21T21:51:57,SETTLED
T300156,A2010,12.24,USD,Ikea,FOOD,2023-11-13T10:40:28,SETTLED
T300157,A2301,23.39,USD,Ikea,SHOPPING,2024-12-04T11:22:06,SETTLED
T300158,A2095,20.24,USD,Ikea,FOOD,2024-12-07T10:06:41,SETTLED
T300159,A2189,9.69,EUR,Spotify,TRAVEL,2024-03-28T04:49:57,SETTLED
T300160,A2452,46.73,EUR,Spotify,ENTERTAINMENT,2025-08-21T18:10:27,SETTLED
T300161,A2191,32.37,USD,Spotify,FOOD,2025-06-01T10:46:12,SETTLED
T300162,A2485,100.38,EUR,Starbucks,TRAVEL,2023-11-06T09:55:42,SETTLED
T300163,A2265,1.63,GBP,Ikea,FOOD,2023-09-26T02:27:03,DECLINED
T300164,A2423,51.62,USD,Zara,SHOPPING,2023-10-29T05:54:43,SETTLED
T300165,A2127,71.97,USD,Spotify,TRAVEL,2024-02-09T18:23:58,DECLINED
T300166,A2237,71.25,USD,Zara,FOOD,2025-08-10T03:48:44,SETTLED
T300167,A2354,108.61,EUR,Amazon,TRAVEL,2025-01-22T22:08:04,SETTLED
T300168,A2111,65.29,EUR,Uber,FOOD,2024-08-18T14:13:30,SETTLED
T300169,A2445,131.42,EUR,Spotify,FOOD,2025-05-29T18:29:12,DECLINED
T300170,A2342,20.22,GBP,Zara,TRAVEL,2023-12-18T04:54:52,SETTLED
T300171,A2144,34.98,EUR,Amazon,TRAVEL,2023-11-19T14:40:19,SETTLED
T300172,A2064,0.71,USD,Starbucks,TRAVEL,2025-08-12T03:56:32,SETTLED
T300173,A2246,0.35,EUR,Uber,SHOPPING,2025-06-28T06:25:29,SETTLED
T300174,A2734,13.73,EUR,Ikea,ENTERTAINMENT,2025-06-14T08:23:08,DECLINED
T300175,A2489,5.31,EUR,Spotify,FOOD,2025-05-29T10:48:59,SETTLED
T300176,A2438,15.07,EUR,Spotify,FOOD,2024-05-23T16:36:14,SETTLED
T300177,A2105,9.74,USD,Ikea,TRAVEL,2023-12-13T08:08:50,SETTLED
T300178,A2180,1.45,EUR,Starbucks,FOOD,2023-10-12T07:58:59,DECLINED
T300179,A2183,120.01,USD,Uber,ENTERTAINMENT,2024-09-01T05:38:03,SETTLED
T300180,A2225,0.41,EUR,Spotify,ENTERTAINMENT,2023-10-18T12:01:16,SETTLED
T300181,A2776,66.61,GBP,Zara,FOOD,2024-01-17T15:36:42,SETTLED
T300182,A2789,8.25,GBP,Uber,FOOD,2025-08-26T23:07:48,SETTLED
T300183,A2088,121.65,USD,Amazon,TRAVEL,2024-11-27T22:02:34,SETTLED
T300184,A2687,111.65,USD,Spotify,ENTERTAINMENT,2024-08-10T14:41:10,SETTLED
T300185,A2529,53.05,GBP,Starbucks,FOOD,2025-06-08T09:23:31,SETTLED
T300186,A2370,55.77,GBP,Zara,ENTERTAINMENT,2025-03-24T20:26:09,SETTLED
T300187,A2398,0.27,EUR,Uber,FOOD,2024-07-11T23:22:31,SETTLED
T300188,A2105,209.56,GBP,Uber,SHOPPING,2024-09-28T12:31:56,SETTLED
T300189,A2270,105.12,USD,Zara,ENTERTAINMENT,2023-10-02T01:39:21,SETTLED
T300190,A2502,112.74,USD,Amazon,SHOPPING,2024-07-02T10:39:35,SETTLED
T300191,A2678,53.83,GBP,Amazon,TRAVEL,2025-02-20T20:04:40,SETTLED
T300192,A2524,21.14,USD,Uber,ENTERTAINMENT,2024-08-05T13:39:35,SETTLED
T300193,A2031,112.05,EUR,Ikea,FOOD,2024-01-21T09:25:33,SETTLED
T300194,A2392,17.23,EUR,Zara,FOOD,2024-06-10T02:02:47,SETTLED
T300195,A2039,41.36,GBP,Spotify,SHOPPING,2024-02-22T22:39:51,SETTLED
T300196,A2659,5.25,USD,Amazon,ENTERTAINMENT,2025-08-14T16:05:02,SETTLED
T300197,A2217,127.52,GBP,Spotify,ENTERTAINMENT,2024-02-01T12:48:56,SETTLED
T300198,A2730,7.59,USD,Amazon,ENTERTAINMENT,2024-04-09T18:05:52,SETTLED
T300199,A2081,12.74,USD,Amazon,TRAVEL,2024-04-13T12:55:59,SETTLED
T300200,A2719,40.84,USD,Starbucks,ENTERTAINMENT,2024-08-20T14:19:18,SETTLED
T300201,A2200,72.22,EUR,Spotify,TRAVEL,2025-07-26T08:16:45,SETTLED
T300202,A2446,48.29,USD,Ikea,FOOD,2024-01-02T14:45:23,SETTLED
T300203,A2427,13.21,EUR,Amazon,SHOPPING,2023-10-06T01:58:42,SETTLED
T300204,A2037,0.05,USD,Ikea,SHOPPING,2024-12-29T03:50:32,SETTLED
T300205,A2210,70.77,GBP,Uber,ENTERTAINMENT,2025-01-02T02:21:12,SETTLED
T300206,A2443,210.68,EUR,Uber,SHOPPING,2024-12-31T09:21:14,SETTLED
T300207,A2326,83.01,EUR,Starbucks,ENTERTAINMENT,2024-03-18T01:49:35,SETTLED
T300208,A2760,30.83,EUR,Ikea,FOOD,2025-01-23T22:12:36,SETTLED
T300209,A2226,117.05,GBP,Zara,FOOD,2024-04-25T09:13:30,SETTLED
T300210,A2047,26.37,EUR,Starbucks,FOOD,2024-09-30T16:04:47,SETTLED
T300211,A2017,37.22,GBP,Amazon,SHOPPING,2024-07-25T04:09:26,SETTLED
T300212,A2438,32.42,USD,Uber,ENTERTAINMENT,2025-07-25T20:15:05,SETTLED
T300213,A2707,29.68,USD,Uber,TRAVEL,2024-11-09T21:38:48,SETTLED
T300214,A2186,74.63,GBP,Zara,FOOD,2024-09-15T05:50:59,SETTLED
T300215,A2344,37.41,EUR,Starbucks,FOOD,2023-10-26T12:47:54,SETTLED
T300216,A2223,19.04,EUR,Ikea,TRAVEL,2023-11-16T07:18:51,SETTLED
T300217,A2487,14.93,GBP,Uber,TRAVEL,2024-04-13T11:28:06,SETTLED
T300218,A2228,1.92,USD,Amazon,SHOPPING,2024-07-02T15:59:18,SETTLED
T300219,A2389,43.76,GBP,Zara,FOOD,2023-12-24T18:19:51,SETTLED
T300220,A2588,13.07,EUR,Zara,SHOPPING,2024-07-30T19:10:10,DECLINED
T300221,A2187,8.02,EUR,Spotify,FOOD,2024-02-11T02:13:44,SETTLED
T300222,A2269,53.04,EUR,Zara,SHOPPING,2025-01-20T07:58:38,SETTLED
T300223,A2606,57.16,EUR,Amazon,SHOPPING,2025-07-27T07:11:03,SETTLED
T300224,A2309,69.75,USD,Zara,TRAVEL,2025-05-20T08:54:46,SETTLED
T300225,A2131,35.02,USD,Ikea,ENTERTAINMENT,2024-10-21T13:57:02,SETTLED
T300226,A2550,112.24,USD,Spotify,ENTERTAINMENT,2024-03-20T16:31:00,SETTLED
T300227,A2071,137.71,EUR,Ikea,ENTERTAINMENT,2025-01-11T02:10:48,SETTLED
T300228,A2792,82.35,EUR,Starbucks,FOOD,2025-05-24T05:33:46,SETTLED
T300229,A2671,50.47,EUR,Starbucks,TRAVEL,2024-11-04T10:33:40,SETTLED
T300230,A2186,18.1,GBP,Ikea,TRAVEL,2025-05-18T13:04:26,SETTLED
T300231,A2485,203.57,EUR,Amazon,TRAVEL,2023-09-24T08:07:52,SETTLED
T300232,A2190,16.02,USD,Spotify,FOOD,2024-07-02T06:20:49,SETTLED
T300233,A2421,11.32,USD,Starbucks,SHOPPING,2025-05-08T12:01:56,SETTLED
T300234,A2119,29.18,USD,Zara,SHOPPING,2025-03-16T06:15:33,SETTLED
T300235,A2219,2.93,GBP,Ikea,ENTERTAINMENT,2024-06-14T02:24:03,SETTLED
T300236,A2052,191.97,USD,Uber,ENTERTAINMENT,2024-09-15T18:01:55,SETTLED
T300237,A2733,44.39,GBP,Amazon,FOOD,2024-11-05T02:36:49,SETTLED
T300238,A2450,40.7,GBP,Amazon,FOOD,2025-05-08T03:04:20,SETTLED
T300239,A2411,53.33,GBP,Ikea,ENTERTAINMENT,2024-09-19T15:08:47,SETTLED
T300240,A2642,34.36,EUR,Uber,SHOPPING,2024-06-02T09:19:36,SETTLED
T300241,A2236,1.63,EUR,Amazon,SHOPPING,2025-08-18T01:35:55,SETTLED
T300242,A2757,47.38,USD,Spotify,TRAVEL,2024-11-21T12:34:01,SETTLED
T300243,A2737,62.97,USD,Starbucks,ENTERTAINMENT,2024-10-03T09:21:18,SETTLED
T300244,A2719,26.96,GBP,Spotify,ENTERTAINMENT,2024-05-15T23:12:25,SETTLED
T300245,A2405,70.8,EUR,Uber,SHOPPING,2024-07-06T20:01:04,SETTLED
T300246,A2607,12.87,USD,Spotify,TRAVEL,2024-04-06T05:21:09,SETTLED
T300247,A2421,12.5,USD,Zara,ENTERTAINMENT,2024-01-26T20:04:37,SETTLED
T300248,A2711,8.8,EUR,Starbucks,SHOPPING,2023-09-29T09:54:54,SETTLED
T300249,A2246,23.26,GBP,Uber,SHOPPING,2024-05-13T20:22:29,SETTLED
T300250,A2071,93.87,USD,Ikea,SHOPPING,2024-12-15T23:07:18,SETTLED
T300251,A2184,87.99,USD,Amazon,TRAVEL,2024-02-26T06:53:54,SETTLED
T300252,A2005,24.13,EUR,Starbucks,TRAVEL,2023-10-01T22:19:19,DECLINED
T300253,A2205,44.47,EUR,Ikea,SHOPPING,2025-08-04T22:19:54,SETTLED
T300254,A2543,63.79,GBP,Uber,TRAVEL,2025-05-30T20:24:40,SETTLED
T300255,A2610,13.8,GBP,Zara,TRAVEL,2025-05-05T21:04:17,SETTLED
T300256,A2386,9.2,USD,Amazon,TRAVEL,2024-04-14T09:01:50,SETTLED
T300257,A2767,178.95,GBP,Amazon,TRAVEL,2023-10-24T16:17:08,SETTLED
T300258,A2698,48.06,USD,Starbucks,FOOD,2025-05-29T06:28:01,SETTLED
T300259,A2075,199.27,USD,Ikea,ENTERTAINMENT,2024-09-09T12:54:01,SETTLED
T300260,A2176,20.61,EUR,Uber,ENTERTAINMENT,2024-10-24T09:23:57,DECLINED
T300261,A2798,60.71,USD,Uber,TRAVEL,2024-06-12T19:05:53,SETTLED
T300262,A2348,12.59,EUR,Ikea,SHOPPING,2025-04-26T19:02:24,SETTLED
T300263,A2254,15.14,USD,Amazon,ENTERTAINMENT,2024-12-05T18:24:30,SETTLED
T300264,A2701,35.86,USD,Ikea,TRAVEL,2024-03-07T23:03:59,SETTLED
T300265,A2307,19.26,USD,Spotify,ENTERTAINMENT,2024-01-11T03:41:17,SETTLED
T300266,A2344,9.17,GBP,Uber,SHOPPING,2023-11-25T22:42:19,SETTLED
T300267,A2126,15.25,GBP,Ikea,TRAVEL,2024-03-19T16:27:23,SETTLED
T300268,A2286,1.82,EUR,Amazon,SHOPPING,2025-01-31T08:54:23,SETTLED
T300269,A2765,60.94,USD,Starbucks,ENTERTAINMENT,2024-03-14T11:28:48,SETTLED
T300270,A2724,33.88,EUR,Spotify,FOOD,2024-04-03T04:29:22,SETTLED
T300271,A2761,4.95,EUR,Amazon,SHOPPING,2024-10-27T16:45:38,SETTLED
T300272,A2595,9.42,USD,Zara,TRAVEL,2025-06-04T04:43:27,SETTLED
T300273,A2486,5.41,GBP,Zara,TRAVEL,2025-05-15T17:47:48,SETTLED
T300274,A2382,47.41,GBP,Ikea,SHOPPING,2025-08-21T15:01:19,SETTLED
T300275,A2405,4.95,EUR,Amazon,FOOD,2025-04-03T15:51:46,SETTLED
T300276,A2387,70.18,GBP,Amazon,ENTERTAINMENT,2023-10-22T14:16:44,SETTLED
T300277,A2524,1.04,USD,Uber,ENTERTAINMENT,2025-04-24T14:59:06,SETTLED
T300278,A2556,14.34,USD,Starbucks,ENTERTAINMENT,2024-02-26T14:11:40,DECLINED
T300279,A2638,110.67,GBP,Spotify,ENTERTAINMENT,2024-11-29T07:44:41,SETTLED
T300280,A2625,63.39,GBP,Amazon,ENTERTAINMENT,2025-06-27T16:03:52,SETTLED
T300281,A2275,3.79,EUR,Spotify,TRAVEL,2025-05-20T12:30:21,SETTLED
T300282,A2499,86.05,GBP,Ikea,TRAVEL,2024-07-06T20:47:12,SETTLED
T300283,A2716,33.97,EUR,Uber,SHOPPING,2024-06-10T18:06:13,SETTLED
T300284,A2336,93.8,USD,Spotify,SHOPPING,2025-09-04T13:34:12,SETTLED
T300285,A2480,45.91,USD,Spotify,ENTERTAINMENT,2025-06-22T00:18:09,SETTLED
T300286,A2272,57.26,USD,Spotify,ENTERTAINMENT,2025-06-26T16:07:32,SETTLED
T300287,A2057,251.81,GBP,Spotify,ENTERTAINMENT,2024-01-22T02:17:35,SETTLED
T300288,A2327,13.22,GBP,Spotify,FOOD,2024-01-23T22:48:53,SETTLED
T300289,A2730,48.9,GBP,Uber,SHOPPING,2024-03-10T21:41:55,SETTLED
T300290,A2108,30.84,EUR,Ikea,TRAVEL,2024-12-12T09:25:49,SETTLED
T300291,A2278,2.01,EUR,Spotify,ENTERTAINMENT,2024-05-13T04:05:49,SETTLED
T300292,A2685,0.73,EUR,Spotify,SHOPPING,2025-05-27T08:54:50,SETTLED
T300293,A2327,6.35,USD,Ikea,FOOD,2025-04-04T11:20:32,SETTLED
T300294,A2775,52.36,EUR,Amazon,FOOD,2025-03-04T00:46:04,SETTLED
T300295,A2314,41.87,GBP,Amazon,ENTERTAINMENT,2024-06-13T20:16:06,SETTLED
